run_id,backend,imgsz,threads,sample_idx,latency_lay_khung_ms,latency_ms,latency_tong_ms,fps_instant,fps_tong_instant,n_faces,conf_top,cpu_temp_c
bench_detect_camera_20260908_1449,onnx,320,4,0,5.8216000034008175,20.886400001472794,26.70800000487361,47.87804504028868,37.441964947488486,0,,
bench_detect_camera_20260908_1449,onnx,320,4,1,8.340300002600998,23.320599997532554,31.66090000013355,42.88054338678273,31.584699108230716,0,,
bench_detect_camera_20260908_1449,onnx,320,4,2,8.445300001767464,22.564600003533997,31.00990000530146,44.31720481831644,32.247766030494766,0,,
bench_detect_camera_20260908_1449,onnx,320,4,3,7.807699992554262,22.441599998273887,30.24929999082815,44.56010266990392,33.058616242465405,0,,
bench_detect_camera_20260908_1449,onnx,320,4,4,8.070600000792183,22.30700000654906,30.377600007341243,44.82897743786311,32.918992934212504,0,,
bench_detect_camera_20260908_1449,onnx,320,4,5,8.447300002444535,24.93319999484811,33.380499997292645,40.1071663567704,29.957609984305385,0,,
bench_detect_camera_20260908_1449,onnx,320,4,6,6.0501999978441745,25.25080001214519,31.301000009989366,39.60270563780227,31.947861080504172,0,,
bench_detect_camera_20260908_1449,onnx,320,4,7,7.5886999984504655,29.189799999585375,36.77849999803584,34.25854236802597,27.189798389097028,0,,
bench_detect_camera_20260908_1449,onnx,320,4,8,8.912999997846782,25.81530000315979,34.72830000100657,38.736718143023715,28.794959729414217,0,,
bench_detect_camera_20260908_1449,onnx,320,4,9,7.623800003784709,19.25219999975525,26.876000003539957,51.942115706917285,37.20791784001658,0,,
bench_detect_camera_20260908_1449,onnx,320,4,10,8.468600004562177,25.800899995374493,34.26949999993667,38.758337894386514,29.18046659571479,0,,
bench_detect_camera_20260908_1449,onnx,320,4,11,7.895600007032044,25.091399991651997,32.98699999868404,39.854292719127024,30.31497256615919,0,,
bench_detect_camera_20260908_1449,onnx,320,4,12,6.814499996835366,30.575700002373196,37.39019999920856,32.70571074161452,26.744975956832725,0,,
bench_detect_camera_20260908_1449,onnx,320,4,13,7.745499999145977,27.71480000228621,35.46030000143219,36.081804664565844,28.20055103762832,0,,
bench_detect_camera_20260908_1449,onnx,320,4,14,8.281999995233491,26.917900002445094,35.199899997678585,37.15000055387548,28.40917161883839,0,,
