run_id,backend,imgsz,threads,sample_idx,latency_ms,fps_instant,n_faces,conf_top,cpu_temp_c
bench_detect_20260905_1914,onnx,320,1,0,94.32809200006886,10.601295741243977,3,0.867016077041626,46.85
bench_detect_20260905_1914,onnx,320,1,1,94.77994500048226,10.55075522564306,1,0.8328506946563721,46.85
bench_detect_20260905_1914,onnx,320,1,2,94.43327799999679,10.589487320349443,2,0.8697801232337952,47.4
bench_detect_20260905_1914,onnx,320,1,3,94.2656849983905,10.608314149704361,1,0.882756769657135,46.3
bench_detect_20260905_1914,onnx,320,1,4,94.29044399985287,10.605528594197313,1,0.8138210773468018,46.3
bench_detect_20260905_1914,onnx,320,1,5,94.96915000090667,10.529735182324503,1,0.8523719906806946,46.3
bench_detect_20260905_1914,onnx,320,1,6,94.24270300041826,10.610901090088236,1,0.8551887273788452,46.85
bench_detect_20260905_1914,onnx,320,1,7,94.36114799973438,10.597581962470558,2,0.8453741669654846,47.4
bench_detect_20260905_1914,onnx,320,1,8,94.38233299988497,10.595203235771029,1,0.8628569841384888,47.4
bench_detect_20260905_1914,onnx,320,1,9,94.20146200136514,10.615546497415382,1,0.8440909385681152,47.4
bench_detect_20260905_1914,onnx,320,1,10,94.29416600141849,10.60510997027066,1,0.8319575786590576,47.95
bench_detect_20260905_1914,onnx,320,1,11,94.64675999879546,10.565602034477743,2,0.8591510057449341,46.85
bench_detect_20260905_1914,onnx,320,1,12,95.15085400016687,10.50962716528268,1,0.8425633311271667,47.4
bench_detect_20260905_1914,onnx,320,1,13,94.45479600071849,10.587074900806448,2,0.8373708128929138,46.85
bench_detect_20260905_1914,onnx,320,1,14,94.26773999985016,10.608082892425228,1,0.8705060482025146,46.85
bench_detect_20260905_1914,onnx,320,1,15,94.68720500080963,10.561089008715058,1,0.8714586496353149,46.85
bench_detect_20260905_1914,onnx,320,1,16,94.43361100056791,10.589449978715589,2,0.8616287708282471,47.4
bench_detect_20260905_1914,onnx,320,1,17,94.37627799889015,10.595883003690396,3,0.8603709936141968,46.85
bench_detect_20260905_1914,onnx,320,1,18,94.41672200046014,10.591344190016748,2,0.8776814937591553,47.4
bench_detect_20260905_1914,onnx,320,1,19,94.21422199920926,10.614108770206615,1,0.8844536542892456,47.4
bench_detect_20260905_1914,onnx,320,1,20,94.31731500080787,10.602507079335693,2,0.8719527721405029,48.5
bench_detect_20260905_1914,onnx,320,1,21,94.33440700013307,10.600586061865947,2,0.8753690123558044,46.3
bench_detect_20260905_1914,onnx,320,1,22,94.75853799995093,10.553138757802678,1,0.848172664642334,47.4
bench_detect_20260905_1914,onnx,320,1,23,94.3450179984211,10.59939381236575,1,0.8727248907089233,47.4
bench_detect_20260905_1914,onnx,320,1,24,94.32716600167623,10.601399812883487,2,0.8595871925354004,47.4
bench_detect_20260905_1914,onnx,320,1,25,94.19190700100444,10.616623357984846,1,0.8494384288787842,46.85
bench_detect_20260905_1914,onnx,320,1,26,95.27781799988588,10.495622391364984,3,0.8744772672653198,47.4
bench_detect_20260905_1914,onnx,320,1,27,94.37825899840391,10.59566059612216,1,0.8549525737762451,47.4
bench_detect_20260905_1914,onnx,320,1,28,94.22133199950622,10.61330782295925,1,0.8621965646743774,46.85
bench_detect_20260905_1914,onnx,320,1,29,94.34425899962662,10.599479084402557,1,0.8918617963790894,46.85
bench_detect_20260905_1914,onnx,320,1,30,94.24270299859927,10.610901090293039,1,0.8513922095298767,47.4
bench_detect_20260905_1914,onnx,320,1,31,94.31522200065956,10.602742365309885,1,0.8696874380111694,47.4
bench_detect_20260905_1914,onnx,320,1,32,94.65877799993905,10.564260611949205,2,0.8461754322052002,47.95
bench_detect_20260905_1914,onnx,320,1,33,94.25538799951028,10.609473062751551,1,0.8386847376823425,47.95
bench_detect_20260905_1914,onnx,320,1,34,94.40211100081797,10.592983455543015,2,0.8442742824554443,46.85
bench_detect_20260905_1914,onnx,320,1,35,94.24462899914943,10.610684243969226,1,0.8503501415252686,46.85
bench_detect_20260905_1914,onnx,320,1,36,94.19916600018041,10.615805239699094,1,0.8418044447898865,47.4
bench_detect_20260905_1914,onnx,320,1,37,95.27928100033023,10.49546123250588,1,0.8386180400848389,47.95
bench_detect_20260905_1914,onnx,320,1,38,94.32370399918,10.601788920510305,1,0.8658443093299866,47.95
bench_detect_20260905_1914,onnx,320,1,39,94.21975899931567,10.613485012281375,2,0.856456995010376,47.4
bench_detect_20260905_1914,onnx,320,1,40,94.36849899975641,10.596756445205102,1,0.8289915919303894,47.95
bench_detect_20260905_1914,onnx,320,1,41,94.26094400078,10.608847711006641,1,0.8585206866264343,47.4
bench_detect_20260905_1914,onnx,320,1,42,94.36113000083424,10.597583983904803,2,0.873018741607666,47.95
bench_detect_20260905_1914,onnx,320,1,43,94.66681600133597,10.563363618206909,1,0.8427597880363464,47.95
bench_detect_20260905_1914,onnx,320,1,44,94.3299249993288,10.601089739095155,1,0.8694509267807007,47.95
bench_detect_20260905_1914,onnx,320,1,45,94.27175900054863,10.607630647839937,2,0.8572405576705933,46.85
bench_detect_20260905_1914,onnx,320,1,46,94.22894300041662,10.612450571535952,1,0.8312458992004395,48.5
bench_detect_20260905_1914,onnx,320,1,47,94.92179799963196,10.534987969822035,1,0.8782301545143127,47.4
bench_detect_20260905_1914,onnx,320,1,48,94.46383300019079,10.586062075185751,2,0.8465735912322998,47.4
